slice fieldpos lbda x y rmsx_um rmsy_um
5.000000 0.500000 0.500000 11.809018 15.416474 1.128129 0.798770
5.000000 0.500000 0.700000 11.741301 13.675266 0.615979 1.367586
5.000000 0.500000 1.000000 11.697153 12.490322 1.269027 1.853330
5.000000 0.500000 1.200000 11.676509 11.921024 1.683573 2.095917
5.000000 0.500000 1.400000 11.657183 11.378543 2.102727 2.329678
5.000000 0.500000 1.600000 11.637581 10.818266 2.553261 2.572440
5.000000 0.500000 1.700200 11.627435 10.524104 2.795729 2.700105
5.000000 1.000000 0.350000 11.692097 19.142667 3.374318 1.524035
5.000000 1.000000 0.400000 11.618317 17.381650 2.484391 0.867147
5.000000 1.000000 0.500000 11.539408 15.407208 1.322116 0.484353
5.000000 1.000000 0.700000 11.473287 13.666649 0.483069 1.011481
5.000000 1.000000 1.000000 11.430180 12.482134 1.005450 1.499774
5.000000 1.000000 1.200000 11.410023 11.913039 1.417261 1.741814
5.000000 1.000000 1.400000 11.391153 11.370748 1.837129 1.973952
5.000000 1.000000 1.600000 11.372013 10.810666 2.289061 2.214059
5.000000 1.000000 1.700200 11.362107 10.516605 2.532277 2.339984
6.000000 -1.000000 0.350000 11.547155 19.135965 2.173662 1.637101
6.000000 -1.000000 0.400000 11.474247 17.375278 1.345268 1.533662
6.000000 -1.000000 0.500000 11.396260 15.401185 0.671492 1.811904
6.000000 -1.000000 0.700000 11.330904 13.660926 1.416836 2.326968
6.000000 -1.000000 1.000000 11.288291 12.476613 2.245824 2.755777
6.000000 -1.000000 1.200000 11.268364 11.907616 2.677549 2.974600
6.000000 -1.000000 1.400000 11.249709 11.365419 3.103843 3.188228
6.000000 -1.000000 1.600000 11.230786 10.805435 3.557400 3.412629
6.000000 -1.000000 1.700200 11.220992 10.511425 3.800451 3.531566
6.000000 -0.500000 0.350000 11.275049 19.125531 2.486801 1.450394
6.000000 -0.500000 0.400000 11.203921 17.365533 1.625728 1.221686
6.000000 -0.500000 0.500000 11.127842 15.392189 0.683951 1.428772
6.000000 -0.500000 0.700000 11.064089 13.652566 1.102100 1.941070
6.000000 -0.500000 1.000000 11.022522 12.468675 1.912001 2.372915
6.000000 -0.500000 1.200000 11.003085 11.899876 2.341652 2.592372
6.000000 -0.500000 1.400000 10.984889 11.357866 2.767126 2.805879
6.000000 -0.500000 1.600000 10.966432 10.798073 3.220368 3.029383
6.000000 -0.500000 1.700200 10.956879 10.504162 3.463362 3.147542
6.000000 0.000000 0.350000 11.002893 19.115382 2.769685 1.365509
6.000000 0.000000 0.400000 10.933536 17.356053 1.887513 0.981113
6.000000 0.000000 0.500000 10.859355 15.383435 0.808469 1.060694
6.000000 0.000000 0.700000 10.797195 13.644430 0.822515 1.564232
6.000000 0.000000 1.000000 10.756668 12.460947 1.608459 1.999140
6.000000 0.000000 1.200000 10.737717 11.892340 2.037034 2.219095
6.000000 0.000000 1.400000 10.719977 11.350512 2.462598 2.432236
6.000000 0.000000 1.600000 10.701982 10.790904 2.916308 2.654502
6.000000 0.000000 1.700200 10.692669 10.497090 3.159593 2.771676
6.000000 0.500000 0.350000 10.730684 19.105518 3.020819 1.392341
6.000000 0.500000 0.400000 10.663091 17.346838 2.123725 0.859911
6.000000 0.500000 0.500000 10.590799 15.374924 0.975319 0.716035
6.000000 0.500000 0.700000 10.530222 13.636519 0.580454 1.196611
6.000000 0.500000 1.000000 10.490729 12.453432 1.334954 1.634775
6.000000 0.500000 1.200000 10.472262 11.885012 1.764124 1.855062
6.000000 0.500000 1.400000 10.454974 11.343360 2.191003 2.067520
6.000000 0.500000 1.600000 10.437439 10.783931 2.646099 2.288105
6.000000 0.500000 1.700200 10.428363 10.490210 2.890051 2.404033
6.000000 1.000000 0.350000 10.458419 19.095940 3.239398 1.518106
6.000000 1.000000 0.400000 10.392584 17.337889 2.331164 0.896311
6.000000 1.000000 0.500000 10.322171 15.366659 1.145058 0.431038
6.000000 1.000000 0.700000 10.263170 13.628835 0.383899 0.839875
6.000000 1.000000 1.000000 10.224704 12.446132 1.092111 1.281248
6.000000 1.000000 1.200000 10.206718 11.877893 1.524290 1.501463
6.000000 1.000000 1.400000 10.189880 11.336411 1.953888 1.712660
6.000000 1.000000 1.600000 10.172801 10.777156 2.411266 1.930866
6.000000 1.000000 1.700200 10.163961 10.483526 2.656217 2.045162
7.000000 -1.000000 0.350000 10.313405 19.089941 2.151616 1.616847
7.000000 -1.000000 0.400000 10.248446 17.332181 1.302885 1.494166
7.000000 -1.000000 0.500000 10.178962 15.361258 0.621476 1.708145
7.000000 -1.000000 0.700000 10.120732 13.623699 1.421658 2.154632
7.000000 -1.000000 1.000000 10.082766 12.441175 2.261837 2.536054
7.000000 -1.000000 1.200000 10.065011 11.873023 2.695855 2.731955
7.000000 -1.000000 1.400000 10.048391 11.331625 3.123230 2.923600
7.000000 -1.000000 1.600000 10.031531 10.772456 3.577030 3.125125
7.000000 -1.000000 1.700200 10.022805 10.478872 3.819910 3.231977
7.000000 -0.500000 0.350000 10.042211 19.080653 2.435663 1.436019
