lbda,transmission,R,A
4195.000000000044,0.04175537876108021,0.9112540319710228,0.046990589267896954
4196.000000000045,0.04155440316043621,0.9120473131181782,0.046398283721385575
4197.000000000045,0.04138594502910192,0.9127988399474997,0.045815215023398526
4198.0000000000455,0.04124951873513674,0.913509535702664,0.04524094556219923
4199.000000000045,0.04114473570581346,0.9141802042573405,0.044675060036846063
4200.0000000000455,0.041071302145950526,0.9148115336633205,0.04411716419072901
4201.0000000000455,0.041029017342334134,0.91540409899416,0.04356688366350589
4202.0000000000455,0.04101777253796099,0.9159583645071213,0.0430238629549178
4203.000000000046,0.04103755036561423,0.9164746851393747,0.04248776449501097
4204.000000000046,0.041088424835922475,0.9169533073477912,0.0419582678162864
4205.000000000046,0.041170561880630126,0.917394369295081,0.04143506882428887
4206.000000000046,0.04128422045740472,0.9177979003784851,0.0409178791641102
4207.000000000047,0.041429754228218096,0.9181638200905624,0.04040642568121949
4208.000000000047,0.041607613829228375,0.9184919361947063,0.03990044997606536
4209.000000000047,0.04181834975627129,0.9187819421908696,0.03939970805285897
4210.000000000047,0.042062615896619034,0.9190334140393464,0.0389039700640345
4211.000000000048,0.04234117374469865,0.919245806102299,0.038413020153002346
4212.000000000048,0.04265489734708374,0.919418446253891,0.03792665639902523
4213.000000000048,0.043004779030413894,0.9195505301002165,0.03744469086936974
4214.000000000049,0.0433919359751015,0.9196411142395527,0.03696694978534564
4215.000000000049,0.04381761770790531,0.9196891084816277,0.03649327381046703
4216.000000000048,0.04428321459786955,0.9196932669313336,0.03602351847079688
4217.000000000049,0.044790267452967186,0.9196521778274349,0.0355575547195979
4218.000000000049,0.04534047832926989,0.9195642520099616,0.03509526966076849
4219.00000000005,0.04593572268088386,0.9194277098708983,0.03463656744821786
4220.000000000049,0.04657806299756191,0.9192405666209593,0.03418137038147866
4221.00000000005,0.04726976409820885,0.9190006156804013,0.03372962022138978
4222.000000000051,0.04801331027286575,0.9187054099732423,0.03328127975389179
4223.00000000005,0.048811424493715054,0.9183522408714848,0.03283633463480013
4224.000000000051,0.049667089947806435,0.9179381144980595,0.03239479555413406
4225.000000000051,0.05058357418122596,0.9174597250535999,0.031956700765174186
4226.000000000051,0.05156445618721477,0.9169134247814854,0.03152211903129982
4227.000000000051,0.05261365682020725,0.916295190126952,0.031091153052840825
4228.000000000052,0.05373547297508796,0.9156005835778452,0.0306639434470668
4229.000000000052,0.05493461603751264,0.9148247105951391,0.03024067336734799
4230.000000000052,0.05621625518851014,0.913962170948683,0.029821573862806823
4231.000000000053,0.05758606623662384,0.9130070036653677,0.029406930098008575
4232.000000000053,0.059050286755878825,0.9119526246702004,0.028997088573920735
4233.000000000053,0.060615778430380594,0.910791756052293,0.02859246551732639
4234.000000000053,0.06229009764957046,0.9095163457135317,0.028193556636897855
4235.000000000054,0.06408157556553636,0.908117475953042,0.0278009484814216
4236.000000000054,0.06599940901978445,0.9065852592998318,0.02741533168038375
4237.000000000054,0.06805376397611419,0.9049087196227679,0.02703751640111794
4238.000000000055,0.07025589336476552,0.9030756562135264,0.026668450421708
4239.000000000055,0.07261827155709438,0.9010724881453492,0.026309240297556487
4240.000000000055,0.07515474805726481,0.8988840757480282,0.02596117619470699
4241.000000000055,0.07788072342612401,0.8964935154954078,0.0256257610784682
4242.000000000055,0.08081335095142855,0.8938819039625022,0.025304745086069225
4243.0000000000555,0.08397176815774185,0.8910280657598961,0.025000166082361913
4244.0000000000555,0.08737736291750417,0.8879082394777662,0.024714397604729613
4245.000000000056,0.0910540796908348,0.8844957146539537,0.024450205655211485
4246.000000000056,0.09502877229034613,0.8807604116055421,0.0242108161041118
4247.000000000056,0.09933161053882679,0.876668394619941,0.02399999484123226
4248.0000000000555,0.1039965492514379,0.8721813074869952,0.02382214326156691
4249.000000000056,0.10906186910235456,0.8672557186810795,0.023682412216565887
4250.000000000056,0.11457080007268274,0.8618423617112232,0.023586838216094055
4251.000000000057,0.12057223922030158,0.8558852543337697,0.02354250644592859
4252.000000000058,0.1271215752900731,0.8493206786248466,0.023557746085080405
4253.000000000057,0.13428163290931677,0.8420760026172498,0.02364236447343343
4254.000000000058,0.14212374833150665,0.8340683237819115,0.023807927886581814
4255.000000000057,0.1507289861799709,0.8252029158330707,0.024068097986958383
4256.000000000058,0.1601895012827006,0.8153714643615235,0.02443903435577588
4257.000000000058,0.17061003976025405,0.8044500855382154,0.024939874701530557
4258.000000000058,0.18210955642287424,0.7922971384985035,0.025593305078622255
4259.000000000059,0.19482289734079183,0.7787508704674044,0.02642623219180359
4260.000000000059,0.2089024514000314,0.7636269809084293,0.0274705676915393
4261.000000000059,0.2245196043701101,0.746716266855276,0.0287641287746139
4262.000000000059,0.24186572164981465,0.7277826303697161,0.03035164798046924
4263.00000000006,0.26115222527914644,0.7065619106629243,0.03228586405792927
4264.00000000006,0.282609096242093,0.6827622742550472,0.034628629502859776
4265.00000000006,0.3064808004019252,0.6560672889398091,0.03745191065826564
4266.000000000061,0.3330181831971268,0.626143354733061,0.040838462069812176
4267.000000000061,0.36246429689296866,0.5926538883790687,0.044881814727962654
4268.000000000061,0.39503145015449626,0.5552835346644291,0.0496850151810746
4269.000000000061,0.4308661347421271,0.5137765798902726,0.05535728536760032
4270.000000000062,0.4699982046512481,0.46799433125895823,0.06200746408979363
4271.000000000062,0.5122713804803797,0.41799579732096326,0.06973282219865706
4272.000000000062,0.5572548578533991,0.3641433378902054,0.0786018042563954
4273.000000000063,0.6041418954340219,0.30722831939822853,0.08862978516774955
4274.000000000062,0.6516519410585752,0.24859952520462025,0.09974853373680459
4275.000000000063,0.6979677008388446,0.19025909907742347,0.1117732000837318
4276.000000000062,0.7407531194816407,0.13487168556834803,0.12437519495001124
4277.000000000063,0.7773019959965034,0.08562414737872118,0.13707385662477545
4278.000000000064,0.8048453090753463,0.04589369452481565,0.14926099639983792
4279.000000000064,0.8209899746339331,0.01874382713658283,0.16026619822948396
4280.000000000065,0.8241870559245552,0.006357101659042025,0.16945584241640277
4281.000000000064,0.8140763214837023,0.009582904166526617,0.1763407743497709
4282.000000000064,0.7915737261653675,0.027768399988593227,0.18065787384603915
4283.000000000064,0.7586650108009715,0.058936518391296794,0.18239847080773175
4284.000000000065,0.7179883974443806,0.10023295548091016,0.18177864707470923
4285.000000000065,0.6723587178292849,0.14847214194073224,0.17916914022998287
4286.0000000000655,0.6243724920141865,0.20061460569999415,0.17501290228581923
4287.0000000000655,0.5761659709306207,0.2540799377717847,0.16975409129759456
4288.0000000000655,0.5293268656143287,0.30688274504541435,0.16379038934025691
4289.0000000000655,0.48491823352038754,0.3576324025854396,0.15744936389417283
4290.0000000000655,0.44356331187037173,0.4054534125632327,0.15098327556639543
4291.000000000066,0.4055501418747212,0.44987470873990887,0.14457514938536992
