wavelength,narrow,wide
12440,0.51874019,0.502727369
12450,0.518166119,0.502131476
12460,0.515181161,0.499086735
12470,0.51430592,0.498097949
12480,0.5148472,0.498725577
12490,0.514472758,0.498294971
12500,0.513190708,0.496928776
12510,0.513331914,0.497082259
12520,0.51355058,0.497298632
12530,0.513162542,0.496965687
12540,0.511890291,0.49572948
12550,0.512605645,0.496487811
12560,0.512705613,0.496677624
12570,0.510790675,0.494566656
12580,0.510294779,0.493944179
12590,0.510414542,0.494151866
12600,0.510334032,0.494017312
12610,0.510544123,0.494144417
12620,0.510508886,0.494203964
12630,0.509057045,0.492797651
12640,0.508485059,0.492211146
12650,0.508167384,0.491942497
12660,0.506074645,0.489819324
12670,0.505048941,0.48878303
12680,0.505274781,0.488957697
12690,0.508189613,0.491934265
12700,0.508035054,0.491686386
12710,0.508481235,0.492223523
12720,0.507949254,0.491553876
12730,0.509776291,0.493334629
12740,0.509472846,0.492845486
12750,0.508565886,0.491806325
12760,0.508971847,0.492397542
12770,0.509580152,0.49305195
12780,0.509748246,0.493069694
12790,0.510864037,0.494052213
12800,0.510143771,0.493327456
12810,0.511578124,0.494714517
12820,0.513685,0.496795679
12830,0.511203353,0.494350209
12840,0.511583555,0.494661685
12850,0.511901756,0.495119496
12860,0.513223334,0.496564931
12870,0.51230129,0.495432435
12880,0.510556258,0.493734691
12890,0.51096164,0.493987591
12900,0.512274445,0.4954592
12910,0.510658973,0.493701687
12920,0.510456484,0.493595597
12930,0.512700268,0.495642229
12940,0.512180885,0.495084531
12950,0.511774485,0.494872227
12960,0.512432706,0.495256297
12970,0.513560512,0.496642709
12980,0.512282054,0.495208866
12990,0.511112763,0.494157605
13000,0.511427815,0.49421794
13010,0.51150154,0.494462784
13020,0.509213482,0.492017793
13030,0.508448576,0.491232129
13040,0.509026575,0.491789796
13050,0.509504508,0.49215822
13060,0.508554602,0.491278171
13070,0.506604191,0.489282888
13080,0.507843057,0.49052699
13090,0.5084238,0.491077878
13100,0.509221642,0.491795832
13110,0.510475752,0.493245486
13120,0.510125069,0.492684697
13130,0.508571294,0.491084328
13140,0.510664087,0.49326499
